Channel ID,Channel URL,Channel title
UCH5_L3ytGbBziX0CLuYdQ1Q,http://www.youtube.com/channel/UCH5_L3ytGbBziX0CLuYdQ1Q,CNBC Make It
UCHCph-_jLba_9atyCZJPLQQ,http://www.youtube.com/channel/UCHCph-_jLba_9atyCZJPLQQ,How It Should Have Ended
UCHJuQZuzapBh-CuhRYxIZrg,http://www.youtube.com/channel/UCHJuQZuzapBh-CuhRYxIZrg,Insider
UCHnyfMqiRRG1u-2MsSQLbXA,http://www.youtube.com/channel/UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium
UCHz5JQAUSkjxrosDIWCtEdw,http://www.youtube.com/channel/UCHz5JQAUSkjxrosDIWCtEdw,thechesswebsite
UCIMP9AS5MlyBae2C82wtV4A,http://www.youtube.com/channel/UCIMP9AS5MlyBae2C82wtV4A,Sing2Guitar | Acoustic Karaoke
UCINb0wqPz-A0dV9nARjJlOQ,http://www.youtube.com/channel/UCINb0wqPz-A0dV9nARjJlOQ,The Dodo
UCIVl4K2afJgLJv0b2ToTs_g,http://www.youtube.com/channel/UCIVl4K2afJgLJv0b2ToTs_g,GrowthX
UCIgJR61X-8MTcHVEQNDrbvQ,http://www.youtube.com/channel/UCIgJR61X-8MTcHVEQNDrbvQ,"Mechanical Engineering Association (MEA) - BITS Pilani, Dubai Campus"
UCIhJnsJ0IHlVNnYfp-gw_5Q,http://www.youtube.com/channel/UCIhJnsJ0IHlVNnYfp-gw_5Q,Cal Newport
UCImfGb6xwG2oyOFMX72AkQA,http://www.youtube.com/channel/UCImfGb6xwG2oyOFMX72AkQA,Travel Thingo
UCJ0-OtVpF0wOKEqT2Z1HEtA,http://www.youtube.com/channel/UCJ0-OtVpF0wOKEqT2Z1HEtA,ElectroBOOM
UCJ8b8GmDjYISfm6Qpa2oBHA,http://www.youtube.com/channel/UCJ8b8GmDjYISfm6Qpa2oBHA,PUBG Mobile India TV
UCJbPGzawDH1njbqV-D5HqKw,http://www.youtube.com/channel/UCJbPGzawDH1njbqV-D5HqKw,thenewboston
UCJc_59YAcXiiKFXkc-UnI3Q,http://www.youtube.com/channel/UCJc_59YAcXiiKFXkc-UnI3Q,This Got Me Thinking
UCLGf9pax6LceNKBsAvRZjWg,http://www.youtube.com/channel/UCLGf9pax6LceNKBsAvRZjWg,WILP Studio
UCLRojYGF_PtFFGS3d-Z-37A,http://www.youtube.com/channel/UCLRojYGF_PtFFGS3d-Z-37A,The Department of Photography
UCM0yJPZK6c-K10WD1pi1lmA,http://www.youtube.com/channel/UCM0yJPZK6c-K10WD1pi1lmA,Taba Chake
UCM1VesJtJ9vTXcMLLr_FfdQ,http://www.youtube.com/channel/UCM1VesJtJ9vTXcMLLr_FfdQ,Coke Studio Pakistan
UCMNDjYpTBPSwWwUisvEwvLg,http://www.youtube.com/channel/UCMNDjYpTBPSwWwUisvEwvLg,Archit Tak
UCNJcSUSzUeFm8W9P7UUlSeQ,http://www.youtube.com/channel/UCNJcSUSzUeFm8W9P7UUlSeQ,The Viral Fever
UCNQ6FEtztATuaVhZKCY28Yw,http://www.youtube.com/channel/UCNQ6FEtztATuaVhZKCY28Yw,Chai aur Code
UCNU_lfiiWBdtULKOw6X0Dig,http://www.youtube.com/channel/UCNU_lfiiWBdtULKOw6X0Dig,Krish Naik
UCNb9vykjjBoUh2EXfBQYR6g,http://www.youtube.com/channel/UCNb9vykjjBoUh2EXfBQYR6g,PhysicsIsFun
UCONax_0CMWVL6b7tHulEQhA,http://www.youtube.com/channel/UCONax_0CMWVL6b7tHulEQhA,Ryan Fernando
UCOW-P7JnJzDEq23gGKyyorg,http://www.youtube.com/channel/UCOW-P7JnJzDEq23gGKyyorg,H.D.Goswami
UCOf7UPMHBjAavgD0Qw5q5ww,http://www.youtube.com/channel/UCOf7UPMHBjAavgD0Qw5q5ww,HackerRank
UCOtQWL2z-tFbI-mgy_Rpdgg,http://www.youtube.com/channel/UCOtQWL2z-tFbI-mgy_Rpdgg,UNFILTERED by Samdish
UCP4k407eomZThGHo_9sgMkg,http://www.youtube.com/channel/UCP4k407eomZThGHo_9sgMkg,Dr Pal
UCPZUQqtVDmcjm4NY5FkzqLA,http://www.youtube.com/channel/UCPZUQqtVDmcjm4NY5FkzqLA,Rousseau
UCPmfPl-BsCd3wmE8i45LAoA,http://www.youtube.com/channel/UCPmfPl-BsCd3wmE8i45LAoA,Simon Sinek
UCPpRFAQ80ycUmzSIR-5ZPSQ,http://www.youtube.com/channel/UCPpRFAQ80ycUmzSIR-5ZPSQ,Shudh Desi Gaane
